Province_State,Confirmed,Deaths,Recovered,Active,People_Tested,Date,dWeek_Confirmed,dWeek_Deaths,dWeek_Recovered,dWeek_Active,dWeek_People_Tested,dWeek_Date,Population
Alabama,78130,1456,32510,44164,641611,07-25-2020,12896,170,2774,9952,67116,07-18-2020,4903185
Alaska,2339,20,815,1504,205066,07-25-2020,543,2,107,434,36703,07-18-2020,731545
American Samoa,0,0,0,0,1037,07-25-2020,0,0,0,0,0,07-18-2020,55641
Arizona,160041,3286,20566,136189,857609,07-25-2020,18776,556,2905,15315,85618,07-18-2020,7278717
Arkansas,37981,399,29827,7755,461464,07-25-2020,5448,42,5051,355,48459,07-18-2020,3017825
California,446452,8408,0,438044,7047355,07-25-2020,65707,706,0,65001,880137,07-18-2020,39512223
Colorado,43771,1794,5133,36844,479744,07-25-2020,4001,42,206,3753,48961,07-18-2020,5758736
Connecticut,48776,4413,8516,35847,713072,07-25-2020,883,17,50,816,83103,07-18-2020,3565287
Delaware,14175,579,7961,5635,166922,07-25-2020,746,56,599,91,16165,07-18-2020,973764
District of Columbia,11717,581,9603,1533,169009,07-25-2020,523,3,7726,-7206,24054,07-18-2020,705749
Florida,414511,5777,0,408734,3336377,07-25-2020,76942,882,0,76060,404389,07-18-2020,21477737
Georgia,165188,3494,0,161694,1407840,07-25-2020,25308,325,0,24983,176034,07-18-2020,10617423
Guam,337,5,244,88,20032,07-25-2020,23,0,22,1,1779,07-18-2020,165718
Hawaii,1620,26,1148,446,112790,07-25-2020,266,2,154,110,9795,07-18-2020,1415872
Idaho,17265,144,5251,11870,163440,07-25-2020,2962,25,1424,1513,20935,07-18-2020,1792065
Illinois,171122,7589,0,163533,2471965,07-25-2020,9337,106,0,9231,258392,07-18-2020,12671821
Indiana,61520,2895,43535,15090,690274,07-25-2020,5866,75,2813,2978,75819,07-18-2020,6732219
Iowa,41886,826,29477,11583,446263,07-25-2020,3573,37,1657,1879,42534,07-18-2020,3155070
Kansas,25009,329,1077,23603,277967,07-25-2020,3316,21,94,3201,28614,07-18-2020,2913314
Kentucky,26764,696,7421,18647,541583,07-25-2020,4580,29,597,3954,51382,07-18-2020,4467673
Louisiana,103734,3715,61456,38563,1199726,07-25-2020,15144,206,8168,6770,155786,07-18-2020,4648794
Maine,3790,119,3281,390,153373,07-25-2020,145,2,145,-2,18444,07-18-2020,1344212
Maryland,83054,3433,5434,74187,825326,07-25-2020,5848,65,90,5693,104340,07-18-2020,6045680
Massachusetts,115268,8510,96452,10306,1110883,07-25-2020,2030,91,1062,877,84050,07-18-2020,6949503
Michigan,85622,6400,55162,24060,1614646,07-25-2020,4284,36,0,4248,158568,07-18-2020,9986857
Minnesota,50291,1611,43625,5055,940696,07-25-2020,4821,33,4315,473,104734,07-18-2020,5639632
Mississippi,50981,1478,30315,19188,421886,07-25-2020,9135,132,4383,4620,44601,07-18-2020,2976149
Missouri,41034,1200,0,39834,619721,07-25-2020,8330,64,0,8266,68845,07-18-2020,6137428
Montana,3259,46,1977,1236,151015,07-25-2020,788,9,902,-123,19136,07-18-2020,1068778
Nebraska,24395,316,17999,6080,252605,07-25-2020,1914,15,1334,565,21454,07-18-2020,1934408
Nevada,41816,732,994,40090,430521,07-25-2020,7339,86,152,7101,47984,07-18-2020,3080156
New Hampshire,6415,409,5438,568,152290,07-25-2020,227,13,250,-36,10504,07-18-2020,1359711
New Jersey,178858,15776,32061,131021,1888157,07-25-2020,2044,77,661,1306,106707,07-18-2020,8882190
New Mexico,18788,607,7156,11025,505177,07-25-2020,2052,38,502,1512,52879,07-18-2020,2096829
New York,411200,32608,72632,305960,5516311,07-25-2020,4895,130,568,4197,447045,07-18-2020,19453561
North Carolina,111421,1811,78707,30903,1579042,07-25-2020,13329,163,11583,1583,199899,07-18-2020,10488084
North Dakota,5736,99,4671,966,144260,07-25-2020,829,9,642,178,12745,07-18-2020,762062
Northern Mariana Islands,40,2,29,9,11339,07-25-2020,3,0,0,3,638,07-18-2020,55194
Ohio,83184,3297,57731,22156,1293822,07-25-2020,9363,165,7451,1747,155386,07-18-2020,11689100
Oklahoma,30081,496,24053,5532,565709,07-25-2020,5024,45,4867,112,89978,07-18-2020,3956971
Oregon,16104,282,3541,12281,374010,07-25-2020,1955,25,316,1614,43217,07-18-2020,4217737
Pennsylvania,111115,7124,79968,24023,1123330,07-25-2020,6335,109,3785,2441,110603,07-18-2020,12801989
Puerto Rico,14540,201,0,14339,320512,07-25-2020,3087,23,0,3064,116373,07-18-2020,3193694
Rhode Island,18224,1002,1769,15453,190028,07-25-2020,431,12,52,367,10827,07-18-2020,1059361
South Carolina,80008,1465,29378,49165,638490,07-25-2020,12396,330,5529,6537,76497,07-18-2020,5148714
South Dakota,8305,122,7307,876,105913,07-25-2020,443,6,416,21,8666,07-18-2020,884659
Tennessee,90796,964,53808,36024,1332374,07-25-2020,14460,126,10102,4232,158722,07-18-2020,6833174
Texas,390286,4990,221510,163786,3306042,07-25-2020,63180,1051,51929,10200,463357,07-18-2020,28995881
Utah,37623,274,24390,12959,500139,07-25-2020,4291,31,3969,291,43899,07-18-2020,3205958
Vermont,1396,56,1182,158,88816,07-25-2020,58,0,57,1,8370,07-18-2020,623989
Virgin Islands,352,7,236,109,8253,07-25-2020,69,1,103,-35,1731,07-18-2020,104914
Virginia,83609,2075,10800,70734,1010443,07-25-2020,7236,50,824,6362,120742,07-18-2020,8535519
Washington,51849,1494,0,50355,883982,07-25-2020,5823,50,0,5773,116325,07-18-2020,7614893
West Virginia,5775,103,4115,1557,256914,07-25-2020,881,3,820,58,31403,07-18-2020,1787145
Wisconsin,47870,891,37287,9692,860243,07-25-2020,6385,48,5283,1054,91501,07-18-2020,5822434
