countyFIPS,County Name,State,population
0,Statewide Unallocated,AL,0
1001,Autauga County,AL,55869
1003,Baldwin County,AL,223234
1005,Barbour County,AL,24686
1007,Bibb County,AL,22394
1009,Blount County,AL,57826
1011,Bullock County,AL,10101
1013,Butler County,AL,19448
1015,Calhoun County,AL,113605
1017,Chambers County,AL,33254
1019,Cherokee County,AL,26196
1021,Chilton County,AL,44428
1023,Choctaw County,AL,12589
1025,Clarke County,AL,23622
1027,Clay County,AL,13235
1029,Cleburne County,AL,14910
1031,Coffee County,AL,52342
1033,Colbert County,AL,55241
1035,Conecuh County,AL,12067
1037,Coosa County,AL,10663
1039,Covington County,AL,37049
1041,Crenshaw County,AL,13772
1043,Cullman County,AL,83768
1045,Dale County,AL,49172
1047,Dallas County,AL,37196
1049,DeKalb County,AL,71513
1051,Elmore County,AL,81209
1053,Escambia County,AL,36633
1055,Etowah County,AL,102268
1057,Fayette County,AL,16302
1059,Franklin County,AL,31362
1061,Geneva County,AL,26271
1063,Greene County,AL,8111
1065,Hale County,AL,14651
1067,Henry County,AL,17205
1069,Houston County,AL,105882
1071,Jackson County,AL,51626
1073,Jefferson County,AL,658573
1075,Lamar County,AL,13805
1077,Lauderdale County,AL,92729
1079,Lawrence County,AL,32924
1081,Lee County,AL,164542
1083,Limestone County,AL,98915
1085,Lowndes County,AL,9726
1087,Macon County,AL,18068
1089,Madison County,AL,372909
1091,Marengo County,AL,18863
1093,Marion County,AL,29709
1095,Marshall County,AL,96774
1097,Mobile County,AL,413210
1099,Monroe County,AL,20733
1101,Montgomery County,AL,226486
1103,Morgan County,AL,119679
1105,Perry County,AL,8923
1107,Pickens County,AL,19930
1109,Pike County,AL,33114
1111,Randolph County,AL,22722
1113,Russell County,AL,57961
1115,St. Clair County,AL,89512
1117,Shelby County,AL,217702
1119,Sumter County,AL,12427
1121,Talladega County,AL,79978
1123,Tallapoosa County,AL,40367
1125,Tuscaloosa County,AL,209355
1127,Walker County,AL,63521
1129,Washington County,AL,16326
1131,Wilcox County,AL,10373
1133,Winston County,AL,23629
0,Statewide Unallocated,AK,0
2013,Aleutians East Borough,AK,3337
2016,Aleutians West Census Area,AK,5634
2020,Municipality of Anchorage,AK,288000
2050,Bethel Census Area,AK,18386
2060,Bristol Bay Borough,AK,836
2068,Denali Borough,AK,2097
2070,Dillingham Census Area,AK,4916
2090,Fairbanks North Star Borough,AK,96849
2100,Haines Borough,AK,2530
2105,Hoonah-Angoon Census Area,AK,2148
2110,City and Borough of Juneau,AK,31974
2122,Kenai Peninsula Borough,AK,58708
2130,Ketchikan Gateway Borough,AK,13901
2150,Kodiak Island Borough,AK,12998
2158,Kusilvak Census Area,AK,8314
2164,Lake and Peninsula Borough,AK,1592
2170,Matanuska-Susitna Borough,AK,108317
2180,Nome Census Area,AK,10004
2185,North Slope Borough,AK,9832
