Admin2,City,Confirmed,Date,Deaths,Province_State,d10_Confirmed,d10_Deaths,d11_Confirmed,d11_Deaths,d12_Confirmed,d12_Deaths,d13_Confirmed,d13_Deaths,d14_Confirmed,d14_Deaths,d15_Confirmed,d15_Deaths,d16_Confirmed,d16_Deaths,d17_Confirmed,d17_Deaths,d18_Confirmed,d18_Deaths,d19_Confirmed,d19_Deaths,d1_Confirmed,d1_Deaths,d20_Confirmed,d20_Deaths,d21_Confirmed,d21_Deaths,d22_Confirmed,d22_Deaths,d23_Confirmed,d23_Deaths,d24_Confirmed,d24_Deaths,d25_Confirmed,d25_Deaths,d26_Confirmed,d26_Deaths,d27_Confirmed,d27_Deaths,d28_Confirmed,d28_Deaths,d2_Confirmed,d2_Deaths,d3_Confirmed,d3_Deaths,d4_Confirmed,d4_Deaths,d5_Confirmed,d5_Deaths,d6_Confirmed,d6_Deaths,d7_Confirmed,d7_Deaths,d8_Confirmed,d8_Deaths,d9_Confirmed,d9_Deaths,dWeek_Confirmed,dWeek_Deaths,dYesterday_Confirmed,dYesterday_Deaths,Population
Autauga,,2283,11-08-2020,30,Alabama,15,0,23,0,21,0,8,0,15,0,11,0,18,1,7,0,2,0,11,1,16,0,11,1,10,0,6,0,17,0,17,0,21,0,4,0,13,0,6,0,25,0,12,-1,18,0,15,0,11,0,13,0,14,0,18,0,110.0,-1.0,16,0,55869.0
Baldwin,,7226,11-08-2020,83,Alabama,120,2,25,0,31,0,18,0,36,0,21,0,22,0,140,0,32,0,38,0,38,0,30,2,6,0,19,0,17,0,48,1,15,0,22,1,28,0,17,0,54,0,37,6,36,0,66,3,10,3,19,0,26,0,52,0,260.0,12.0,38,0,223234.0
Barbour,,1095,11-08-2020,9,Alabama,1,0,10,0,3,0,9,0,0,0,2,0,19,0,15,0,1,0,8,0,3,0,7,0,0,0,4,0,9,0,3,0,15,0,-1,0,7,0,2,0,2,0,10,0,1,0,5,0,9,0,4,0,1,0,4,0,34.0,0.0,3,0,24686.0
Bibb,,926,11-08-2020,16,Alabama,5,0,5,0,6,0,7,1,3,0,12,0,3,0,14,0,10,0,10,0,2,0,2,1,4,0,10,0,4,0,10,0,17,0,0,1,6,0,2,0,7,1,10,0,10,0,7,0,7,0,5,0,5,0,7,0,48.0,1.0,2,0,22394.0
Blount,,2297,11-08-2020,26,Alabama,30,0,21,0,16,0,30,0,10,0,7,0,14,0,18,0,20,0,25,1,11,0,10,1,11,0,20,0,24,0,15,0,18,0,8,7,20,0,9,0,33,0,31,1,34,0,26,0,54,0,13,0,21,0,35,0,202.0,1.0,11,0,57826.0
Bullock,,664,11-08-2020,17,Alabama,0,0,1,0,0,0,1,0,0,0,1,0,9,0,2,0,0,0,2,0,1,0,0,0,1,0,0,0,3,0,3,0,0,1,2,0,1,0,1,0,1,0,1,0,2,0,2,0,2,0,0,0,2,0,2,0,9.0,0.0,1,0,10101.0
Butler,,1052,11-08-2020,41,Alabama,1,0,4,0,3,0,-1,1,2,0,4,0,5,0,1,0,3,0,0,0,6,0,0,0,2,0,6,0,2,0,6,0,5,0,9,0,6,0,4,0,2,0,7,0,3,0,5,0,3,0,2,0,2,0,2,0,28.0,0.0,6,0,19448.0
Calhoun,,5181,11-08-2020,67,Alabama,41,1,76,0,42,1,26,0,22,0,32,0,343,0,35,1,29,1,33,0,28,0,25,0,18,0,18,0,63,0,54,0,27,2,25,8,36,0,20,0,76,0,38,1,38,1,50,0,26,0,33,0,31,0,55,2,289.0,2.0,28,0,113605.0
Chambers,,1485,11-08-2020,48,Alabama,1,0,10,0,2,0,16,3,2,0,0,0,7,1,7,0,6,0,29,0,2,0,28,0,7,0,0,0,3,0,3,0,4,0,2,0,9,0,3,0,14,0,8,0,12,0,21,1,31,0,5,0,3,0,8,0,93.0,1.0,2,0,33254.0
Cherokee,,840,11-08-2020,15,Alabama,5,1,3,0,5,0,11,0,7,0,5,0,2,0,5,0,3,0,1,0,4,0,7,0,1,0,1,0,11,0,6,0,9,0,0,1,13,0,4,0,4,0,1,0,8,0,15,0,17,0,4,0,4,0,14,0,53.0,0.0,4,0,26196.0
