Date,Province_State,Recovered,Deaths,People_Hospitalized,Confirmed,People_Tested
01-22-2020,Washington,0,0,0,1,1
01-23-2020,Washington,0,0,0,1,1
01-24-2020,Washington,0,0,0,1,1
01-25-2020,Washington,0,0,0,1,1
01-26-2020,Washington,0,0,0,1,1
01-27-2020,Washington,0,0,0,1,1
01-28-2020,Washington,0,0,0,1,1
01-29-2020,Washington,0,0,0,1,1
01-30-2020,Washington,0,0,0,1,1
01-31-2020,Washington,0,0,0,1,1
02-01-2020,Washington,0,0,0,1,1
02-02-2020,Washington,0,0,0,1,1
02-03-2020,Washington,0,0,0,1,1
02-04-2020,Washington,0,0,0,1,1
02-05-2020,Washington,0,0,0,1,1
02-06-2020,Washington,0,0,0,1,1
02-07-2020,Washington,0,0,0,2,2
02-08-2020,Washington,0,0,0,2,2
02-09-2020,Washington,0,0,0,2,2
02-10-2020,Washington,0,0,0,2,2
02-11-2020,Washington,0,0,0,2,2
02-12-2020,Washington,0,0,0,2,2
02-13-2020,Washington,0,0,0,2,2
02-14-2020,Washington,0,0,0,2,2
02-15-2020,Washington,0,0,0,2,2
02-16-2020,Washington,0,0,0,2,2
02-17-2020,Washington,0,0,0,2,2
02-18-2020,Washington,0,0,0,2,2
02-19-2020,Washington,0,0,0,2,2
02-20-2020,Washington,0,0,0,2,2
02-21-2020,Washington,0,0,0,2,2
02-22-2020,Washington,0,0,0,2,2
02-23-2020,Washington,0,0,0,2,2
02-24-2020,Washington,0,0,0,2,2
02-25-2020,Washington,0,0,0,2,2
02-26-2020,Washington,0,2,0,2,2
02-27-2020,Washington,0,2,0,2,2
02-28-2020,Washington,0,4,0,9,9
02-29-2020,Washington,0,5,0,24,41
03-01-2020,Washington,0,8,0,102,116
03-01-2020,Rhode Island,0,0,0,1,1
03-01-2020,Michigan,0,0,0,9,9
03-02-2020,Michigan,0,0,0,18,18
03-02-2020,Rhode Island,0,0,0,1,1
03-02-2020,Washington,0,11,0,174,296
03-03-2020,Washington,0,14,0,258,520
03-03-2020,Rhode Island,0,0,0,2,8
03-03-2020,Michigan,0,0,0,34,34
03-04-2020,Michigan,0,0,0,52,52
03-04-2020,Arizona,0,0,0,2,29
03-04-2020,California,0,0,0,53,515
03-04-2020,Florida,0,0,0,2,26
03-04-2020,Georgia,0,0,0,2,2
03-04-2020,Illinois,0,0,0,4,128
03-04-2020,North Carolina,0,0,0,1,1
03-04-2020,Oregon,0,0,0,3,32
03-04-2020,New York,0,0,0,6,54
03-04-2020,Wisconsin,0,0,0,1,20
03-04-2020,Rhode Island,0,0,0,2,13
03-04-2020,South Carolina,0,0,0,0,5
03-04-2020,Texas,0,0,0,1,1
03-04-2020,Washington,0,16,0,351,764
03-04-2020,New Hampshire,0,0,0,2,12
03-05-2020,North Carolina,0,0,0,1,1
03-05-2020,Michigan,0,0,0,72,80
03-05-2020,Maryland,0,0,0,0,17
03-05-2020,Georgia,0,0,0,2,2
03-05-2020,Colorado,0,0,0,0,19
03-05-2020,District of Columbia,0,0,0,0,6
03-05-2020,Nebraska,0,0,0,0,17
03-05-2020,California,0,0,0,53,515
03-05-2020,Arizona,0,0,0,2,30
03-05-2020,Florida,0,0,0,9,40
03-05-2020,New Hampshire,0,0,0,2,18
03-05-2020,Illinois,0,0,0,5,170
03-05-2020,Nevada,0,0,0,1,15
03-05-2020,New Jersey,0,0,0,1,1
03-05-2020,Wisconsin,0,0,0,1,20
03-05-2020,Virginia,0,0,0,0,18
03-05-2020,Texas,0,0,0,1,1
03-05-2020,Tennessee,0,0,0,1,1
03-05-2020,Washington,0,20,0,456,1125
03-05-2020,Rhode Island,0,0,0,2,19
03-05-2020,Oregon,0,0,0,3,48
03-05-2020,Ohio,0,0,0,0,7
03-05-2020,New York,0,0,0,22,98
03-05-2020,South Carolina,0,0,0,0,5
03-06-2020,Iowa,0,0,0,0,15
03-06-2020,Maryland,0,0,0,3,29
03-06-2020,Kentucky,0,0,0,0,7
03-06-2020,Kansas,0,0,0,0,4
03-06-2020,Indiana,0,0,0,1,1
03-06-2020,Illinois,0,0,0,5,185
03-06-2020,Georgia,0,0,0,2,2
03-06-2020,Arizona,0,0,0,3,36
03-06-2020,Delaware,0,0,0,0,10
03-06-2020,District of Columbia,0,0,0,0,8
03-06-2020,Colorado,0,0,0,2,48
03-06-2020,California,0,0,0,60,522
03-06-2020,Arkansas,0,0,0,0,6
03-06-2020,Alaska,0,0,0,0,8
03-06-2020,Michigan,0,0,0,98,106
03-06-2020,Florida,0,0,0,9,64
03-06-2020,Minnesota,0,0,0,0,36
03-06-2020,Nevada,0,0,0,1,15
03-06-2020,Nebraska,0,0,0,0,17
03-06-2020,North Carolina,0,0,0,2,2
03-06-2020,Wisconsin,0,0,0,1,32
03-06-2020,Washington,0,26,0,537,1600
03-06-2020,Vermont,0,0,0,0,0
03-06-2020,Texas,0,0,0,5,5
03-06-2020,Tennessee,0,0,0,1,1
03-06-2020,South Carolina,0,0,0,0,5
03-06-2020,Rhode Island,0,0,0,3,20
03-06-2020,Virginia,0,0,0,0,21
03-06-2020,Oregon,0,0,0,3,67
03-06-2020,Pennsylvania,0,0,0,2,2
03-06-2020,New Jersey,0,0,0,1,1
03-06-2020,New Mexico,0,0,0,0,16
03-06-2020,New Hampshire,0,0,0,2,22
03-06-2020,New York,0,0,0,33,125
03-06-2020,Ohio,0,0,0,0,8
03-06-2020,West Virginia,0,0,0,0,1
03-07-2020,Idaho,0,0,0,0,27
03-07-2020,Minnesota,0,0,0,1,49
03-07-2020,Maine,0,0,0,0,1
03-07-2020,Maryland,0,0,0,3,44
03-07-2020,Louisiana,0,0,0,0,0
03-07-2020,Kentucky,0,0,0,1,10
03-07-2020,Kansas,0,0,0,0,11
03-07-2020,Indiana,0,0,0,1,1
03-07-2020,Illinois,0,0,0,6,197
03-07-2020,Iowa,0,0,0,0,15
03-07-2020,Arizona,0,0,0,5,49
03-07-2020,Georgia,0,0,0,6,6
03-07-2020,Florida,0,0,0,14,114
03-07-2020,Delaware,0,0,0,0,10
03-07-2020,District of Columbia,0,0,0,0,8
03-07-2020,Connecticut,0,0,0,0,0
03-07-2020,Colorado,0,0,0,8,63
03-07-2020,California,0,0,0,69,531
03-07-2020,Missouri,0,0,0,0,0
03-07-2020,Arkansas,0,0,0,0,6
03-07-2020,Alabama,0,0,0,0,0
03-07-2020,Alaska,0,0,0,0,12
03-07-2020,Hawaii,0,0,0,1,1
03-07-2020,Mississippi,0,0,0,0,0
03-07-2020,Michigan,0,0,0,128,146
03-07-2020,North Carolina,0,0,0,2,2
03-07-2020,Montana,0,0,0,0,11
03-07-2020,Wyoming,0,0,0,0,0
03-07-2020,West Virginia,0,0,0,0,2
03-07-2020,Wisconsin,0,0,0,1,32
03-07-2020,Washington,0,27,0,636,2004
03-07-2020,Vermont,0,0,0,1,26
03-07-2020,Virginia,0,0,0,0,31
03-07-2020,Texas,0,0,0,8,8
03-07-2020,Tennessee,0,0,0,1,1
03-07-2020,South Dakota,0,0,0,0,5
03-07-2020,South Carolina,0,0,0,2,10
03-07-2020,Utah,0,0,0,1,1
03-07-2020,Pennsylvania,0,0,0,4,4
03-07-2020,Rhode Island,0,0,0,2,32
03-07-2020,Nebraska,0,0,0,1,18
03-07-2020,New Hampshire,0,0,0,2,22
03-07-2020,New Jersey,0,0,0,4,4
03-07-2020,New Mexico,0,0,0,0,48
03-07-2020,North Dakota,0,0,0,0,0
03-07-2020,New York,0,0,0,76,168
03-07-2020,Ohio,0,0,0,0,9
03-07-2020,Oklahoma,0,0,0,1,1
03-07-2020,Oregon,0,0,0,7,84
03-07-2020,Nevada,0,0,0,1,15
03-08-2020,Iowa,0,0,0,0,15
03-08-2020,Michigan,0,0,0,168,194
03-08-2020,Maine,0,0,0,0,1
03-08-2020,Maryland,0,0,0,3,55
03-08-2020,Louisiana,0,0,0,0,5
03-08-2020,Kentucky,0,0,0,1,14
03-08-2020,Kansas,0,0,0,1,12
03-08-2020,Indiana,0,0,0,2,2
03-08-2020,Illinois,0,0,0,6,197
03-08-2020,Idaho,0,0,0,0,27
03-08-2020,Hawaii,0,0,0,1,1
03-08-2020,Minnesota,0,0,0,1,49
03-08-2020,Florida,0,0,0,17,135
03-08-2020,Delaware,0,0,0,0,10
03-08-2020,District of Columbia,0,0,0,1,11
03-08-2020,Connecticut,0,0,0,1,30
03-08-2020,Colorado,0,0,0,8,112
03-08-2020,California,0,0,0,88,550
03-08-2020,Arizona,0,0,0,5,49
03-08-2020,Arkansas,0,0,0,0,6
03-08-2020,Alabama,0,0,0,0,0
03-08-2020,Alaska,0,0,0,0,14
03-08-2020,Georgia,0,0,0,7,7
03-08-2020,Missouri,0,0,0,1,1
03-08-2020,Wisconsin,0,0,0,1,32
03-08-2020,Montana,0,0,0,0,11
03-08-2020,West Virginia,0,0,0,0,2
03-08-2020,Wyoming,0,0,0,0,0
03-08-2020,Washington,0,31,0,789,2527
03-08-2020,Vermont,0,0,0,1,31
03-08-2020,Virginia,0,0,0,2,38
03-08-2020,Utah,0,0,0,1,1
03-08-2020,Texas,0,0,0,8,8
03-08-2020,Tennessee,0,0,0,3,3
03-08-2020,South Dakota,0,0,0,0,5
03-08-2020,South Carolina,0,0,0,2,10
03-08-2020,Rhode Island,0,0,0,3,33
03-08-2020,Mississippi,0,0,0,0,0
03-08-2020,Oregon,0,0,0,14,114
03-08-2020,Oklahoma,0,0,0,1,9
03-08-2020,Ohio,0,0,0,0,10
03-08-2020,New York,0,0,0,105,197
03-08-2020,Nevada,0,0,0,1,15
03-08-2020,New Mexico,0,0,0,0,48
03-08-2020,New Jersey,0,0,0,6,37
03-08-2020,New Hampshire,0,0,0,4,42
03-08-2020,Nebraska,0,0,0,1,18
03-08-2020,North Dakota,0,0,0,0,0
03-08-2020,North Carolina,0,0,0,2,2
03-08-2020,Pennsylvania,0,0,0,6,6
03-09-2020,Idaho,0,0,0,0,41
03-09-2020,Illinois,0,0,0,7,198
03-09-2020,Indiana,0,0,0,2,2
03-09-2020,Kansas,0,0,0,1,12
03-09-2020,Michigan,0,0,0,254,290
03-09-2020,Louisiana,0,0,0,1,6
03-09-2020,Maryland,0,0,0,5,78
03-09-2020,Maine,0,0,0,0,1
03-09-2020,Iowa,0,0,0,3,29
03-09-2020,Kentucky,0,0,0,4,21
03-09-2020,Hawaii,0,0,0,2,2
03-09-2020,Colorado,0,0,0,9,142
03-09-2020,Florida,0,0,0,18,158
03-09-2020,Delaware,0,0,0,0,15
03-09-2020,District of Columbia,0,0,0,1,15
03-09-2020,Connecticut,0,0,0,1,47
03-09-2020,California,0,0,0,114,804
03-09-2020,Arizona,0,0,0,5,49
