Date,Province_State,Recovered,Deaths,People_Hospitalized,Confirmed,People_Tested
2020-01-22,Washington,0,0,0,0,0
2020-01-22,Massachusetts,0,0,0,0,1
2020-01-23,Massachusetts,0,0,0,0,2
2020-01-23,Washington,0,0,0,0,0
2020-01-24,Washington,0,0,0,0,0
2020-01-24,Massachusetts,0,0,0,0,2
2020-01-25,Washington,0,0,0,0,0
2020-01-25,Massachusetts,0,0,0,0,2
2020-01-26,Washington,0,0,0,0,0
2020-01-26,Massachusetts,0,0,0,0,2
2020-01-27,Washington,0,0,0,0,0
2020-01-27,Massachusetts,0,0,0,0,3
2020-01-28,Washington,0,0,0,0,0
2020-01-28,Massachusetts,0,0,0,0,3
2020-01-29,Florida,0,0,0,0,1
2020-01-29,Washington,0,0,0,0,0
2020-01-29,Massachusetts,0,0,0,0,4
2020-01-30,Washington,0,0,0,0,0
2020-01-30,Massachusetts,0,0,0,0,4
2020-01-30,Florida,0,0,0,0,1
2020-01-31,Washington,0,0,0,0,0
2020-01-31,Massachusetts,0,0,0,0,4
2020-01-31,Florida,0,0,0,0,4
2020-02-01,Washington,0,0,0,0,0
2020-02-01,Massachusetts,0,0,0,0,4
2020-02-01,Florida,0,0,0,0,4
2020-02-02,Washington,0,0,0,0,0
2020-02-02,Massachusetts,0,0,0,0,4
2020-02-02,Florida,0,0,0,0,4
2020-02-03,Florida,0,0,0,0,4
2020-02-03,Washington,0,0,0,0,0
2020-02-03,Massachusetts,0,0,0,0,7
2020-02-04,Washington,0,0,0,0,0
2020-02-04,Massachusetts,0,0,0,0,9
2020-02-04,Florida,0,0,0,0,6
2020-02-05,Washington,0,0,0,0,0
2020-02-05,Massachusetts,0,0,0,0,9
2020-02-05,Florida,0,0,0,0,6
2020-02-06,Washington,0,0,0,0,0
2020-02-06,Massachusetts,0,0,0,0,10
2020-02-06,Florida,0,0,0,0,6
2020-02-07,Florida,0,0,0,0,6
2020-02-07,Washington,0,0,0,0,0
2020-02-07,Massachusetts,0,0,0,0,10
2020-02-08,Washington,0,0,0,0,0
2020-02-08,Massachusetts,0,0,0,0,11
2020-02-08,Florida,0,0,0,0,7
2020-02-09,Washington,0,0,0,0,0
2020-02-09,Massachusetts,0,0,0,0,11
2020-02-09,Florida,0,0,0,0,7
2020-02-10,Washington,0,0,0,0,0
2020-02-10,New Jersey,0,0,0,0,0
2020-02-10,Massachusetts,0,0,0,0,12
2020-02-10,Florida,0,0,0,0,7
2020-02-11,Florida,0,0,0,0,8
2020-02-11,Washington,0,0,0,0,0
2020-02-11,New Jersey,0,0,0,0,0
2020-02-11,Massachusetts,0,0,0,0,12
2020-02-12,Washington,0,0,0,0,0
2020-02-12,New Jersey,0,0,0,0,0
2020-02-12,Massachusetts,0,0,0,0,13
2020-02-12,Florida,0,0,0,0,8
2020-02-13,Washington,0,0,0,0,0
2020-02-13,New Jersey,0,0,0,0,0
2020-02-13,Massachusetts,0,0,0,0,13
2020-02-13,Florida,0,0,0,0,9
2020-02-14,Massachusetts,0,0,0,0,13
2020-02-14,Florida,0,0,0,0,9
2020-02-14,Washington,0,0,0,0,0
2020-02-14,New Jersey,0,0,0,0,0
2020-02-15,Washington,0,0,0,0,0
2020-02-15,New Jersey,0,0,0,0,0
2020-02-15,Nebraska,0,0,0,0,1
2020-02-15,Massachusetts,0,0,0,0,13
2020-02-15,Florida,0,0,0,0,12
2020-02-16,Washington,0,0,0,0,0
2020-02-16,New Jersey,0,0,0,0,0
2020-02-16,Nebraska,0,0,0,0,3
2020-02-16,Massachusetts,0,0,0,0,13
2020-02-16,Florida,0,0,0,0,12
2020-02-17,Florida,0,0,0,0,13
2020-02-17,Massachusetts,0,0,0,0,13
2020-02-17,New Jersey,0,0,0,0,0
2020-02-17,Washington,0,0,0,0,0
2020-02-17,Nebraska,0,0,0,0,3
2020-02-18,Washington,0,0,0,0,0
2020-02-18,New Jersey,0,0,0,0,0
2020-02-18,Nebraska,0,0,0,0,3
2020-02-18,Massachusetts,0,0,0,0,13
2020-02-18,Florida,0,0,0,0,13
2020-02-19,Washington,0,0,0,0,0
2020-02-19,New Jersey,0,0,0,0,0
2020-02-19,Nebraska,0,0,0,0,9
2020-02-19,Massachusetts,0,0,0,0,13
2020-02-19,Florida,0,0,0,0,13
2020-02-20,Florida,0,0,0,0,13
2020-02-20,Massachusetts,0,0,0,0,14
2020-02-20,Washington,0,0,0,0,0
2020-02-20,New Jersey,0,0,0,0,0
2020-02-20,Nebraska,0,0,0,0,9
2020-02-21,Washington,0,0,0,0,0
2020-02-21,New Jersey,0,0,0,0,0
2020-02-21,Nebraska,0,0,0,0,10
2020-02-21,Massachusetts,0,0,0,0,14
2020-02-21,Florida,0,0,0,0,13
2020-02-22,Massachusetts,0,0,0,0,14
2020-02-22,Florida,0,0,0,0,14
2020-02-22,New Jersey,0,0,0,0,0
2020-02-22,Washington,0,0,0,0,0
2020-02-22,Nebraska,0,0,0,0,10
2020-02-23,Washington,0,0,0,0,0
2020-02-23,New Jersey,0,0,0,0,0
2020-02-23,Nebraska,0,0,0,0,10
2020-02-23,Massachusetts,0,0,0,0,14
2020-02-23,Florida,0,0,0,0,14
2020-02-24,Washington,0,0,0,0,0
2020-02-24,New Jersey,0,0,0,0,0
2020-02-24,Nebraska,0,0,0,0,10
2020-02-24,Massachusetts,0,0,0,0,16
2020-02-24,Florida,0,0,0,0,14
2020-02-25,Florida,0,0,0,0,15
2020-02-25,Massachusetts,0,0,0,0,16
2020-02-25,Washington,0,0,0,0,0
2020-02-25,New Jersey,0,0,0,0,0
2020-02-25,Nebraska,0,0,0,0,10
2020-02-26,Washington,0,2,0,0,0
2020-02-26,New Jersey,0,0,0,0,0
2020-02-26,Nebraska,0,0,0,0,10
2020-02-26,Massachusetts,0,0,0,0,16
2020-02-26,Florida,0,0,0,0,15
2020-02-27,Indiana,0,0,0,0,1
2020-02-27,Massachusetts,0,0,0,0,16
2020-02-27,Florida,0,0,0,0,15
2020-02-27,New Jersey,0,0,0,0,0
2020-02-27,Virginia,0,0,0,0,6445
2020-02-27,Washington,0,2,0,0,0
2020-02-27,Nebraska,0,0,0,0,10
2020-02-28,Washington,0,4,0,0,0
2020-02-28,Virginia,0,0,0,0,6445
2020-02-28,New Jersey,0,0,0,0,0
2020-02-28,Nebraska,0,0,0,0,10
2020-02-28,Massachusetts,0,0,0,0,18
2020-02-28,Indiana,0,0,0,0,2
2020-02-28,Florida,0,0,0,0,15
2020-02-29,Florida,0,0,0,0,15
2020-02-29,Massachusetts,0,0,0,0,19
2020-02-29,Indiana,0,0,0,0,4
2020-02-29,New Jersey,0,0,0,0,0
2020-02-29,Virginia,0,0,0,0,6447
2020-02-29,Washington,0,5,0,18,42
2020-02-29,Nebraska,0,0,0,0,25
2020-03-01,Florida,0,0,0,0,15
2020-03-01,Indiana,0,0,0,0,6
2020-03-01,Massachusetts,0,0,0,0,23
2020-03-01,Michigan,0,0,0,14,14
2020-03-01,New Jersey,0,0,0,0,0
2020-03-01,Rhode Island,0,0,0,2,0
2020-03-01,Virginia,0,0,0,0,6449
2020-03-01,Washington,0,8,0,34,117
2020-03-01,Nebraska,0,0,0,0,36
2020-03-02,Florida,0,0,0,0,15
2020-03-02,Massachusetts,0,0,0,0,29
2020-03-02,Indiana,0,0,0,0,6
2020-03-02,Michigan,0,0,0,27,27
2020-03-02,Virginia,0,0,0,0,6450
2020-03-02,New Jersey,0,0,0,0,0
2020-03-02,Washington,0,11,0,65,305
2020-03-02,Nebraska,0,0,0,0,36
2020-03-02,Rhode Island,0,0,0,2,4
2020-03-03,Wisconsin,0,0,0,0,7
2020-03-03,Massachusetts,0,0,0,0,44
2020-03-03,Michigan,0,0,0,50,50
2020-03-03,Nebraska,0,0,0,0,48
2020-03-03,Florida,0,0,0,2,19
2020-03-03,Rhode Island,0,0,0,2,5
2020-03-03,Virginia,0,0,0,0,6451
2020-03-03,Vermont,0,0,0,0,0
2020-03-03,Washington,0,14,0,90,531
2020-03-03,New Jersey,0,0,0,0,0
2020-03-03,Indiana,0,0,0,0,8
2020-03-04,North Carolina,0,0,0,1,1
2020-03-04,Arizona,0,0,4,2,29
2020-03-04,California,0,0,0,53,515
2020-03-04,Florida,0,0,0,3,22
2020-03-04,Georgia,0,0,0,2,2
2020-03-04,Hawaii,0,0,0,0,2
2020-03-04,Illinois,0,0,0,4,128
2020-03-04,Indiana,0,0,0,0,12
2020-03-04,Massachusetts,0,0,0,0,66
2020-03-04,Michigan,0,0,0,74,74
2020-03-04,New Hampshire,0,0,0,2,6
2020-03-04,New Jersey,0,0,0,0,0
2020-03-04,New York,0,0,0,6,54
2020-03-04,Oregon,0,0,0,3,32
2020-03-04,Rhode Island,0,0,0,2,7
2020-03-04,South Carolina,0,0,0,0,5
2020-03-04,Texas,0,0,0,1,1
2020-03-04,Virginia,0,0,0,0,6452
2020-03-04,Vermont,0,0,0,0,3
2020-03-04,Washington,0,16,0,128,782
2020-03-04,Wisconsin,0,0,0,1,7
2020-03-04,Nebraska,0,0,0,0,48
2020-03-05,Michigan,0,0,0,100,108
2020-03-05,Maryland,0,0,0,0,0
2020-03-05,Massachusetts,0,0,0,0,102
