Population,Region
65435,Adams
5761,Alexander
16426,Bond
53544,Boone
6578,Brown
32628,Bureau
4739,Calhoun
14305,Carroll
12147,Cass
209689,Champaign
32304,Christian
15441,Clark
13184,Clay
37562,Clinton
50621,Coles
5150233,Cook
18667,Crawford
10766,Cumberland
104897,DeKalb
15638,De Witt
19465,Douglas
922921,DuPage
17161,Edgar
6395,Edwards
34008,Effingham
21336,Fayette
12961,Ford
38469,Franklin
34340,Fulton
4828,Gallatin
12969,Greene
51054,Grundy
8116,Hamilton
17708,Hancock
3821,Hardin
6646,Henderson
48913,Henry
27114,Iroquois
56750,Jackson
9610,Jasper
37684,Jefferson
21773,Jersey
21235,Jo Daviess
12417,Johnson
532403,Kane
109862,Kankakee
128990,Kendall
49699,Knox
696535,Lake
108669,LaSalle
15678,Lawrence
34096,Lee
35648,Livingston
28618,Logan
29682,McDonough
307774,McHenry
171517,McLean
104009,Macon
44926,Macoupin
262966,Madison
37205,Marion
11438,Marshall
13359,Mason
13772,Massac
12196,Menard
15437,Mercer
34637,Monroe
28414,Montgomery
33658,Morgan
14501,Moultrie
50643,Ogle
179179,Peoria
20916,Perry
16344,Piatt
15561,Pike
4177,Pope
5335,Pulaski
5739,Putnam
31782,Randolph
15513,Richland
141879,Rock Island
259686,St. Clair
23491,Saline
194672,Sangamon
6768,Schuyler
4951,Scott
21634,Shelby
5342,Stark
44498,Stephenson
131803,Tazewell
16653,Union
75758,Vermilion
11520,Wabash
16844,Warren
13887,Washington
16215,Wayne
13537,White
55175,Whiteside
690743,Will
66597,Williamson
282572,Winnebago
38459,Woodford
